seq,task_id,title,category,type,screen,priority,route,page_entry,depends_on,requirement_ref,detail_file,detail_file_exists,verify,wave_id
16,API-BLOCKS,사용자 차단·해제,API,api,SCR-004/SCR-005,P1,—,—,DB-SCHEMA-BASE; DB-RLS-BASE; DB-ACCESS; INFRA-AUTH-SESSION,REQ-FUNC-040,TASK-API-BLOCKS.md,True,"TEST-RLS-BASIC, E2E-MATE-AUTH",W05
17,API-REPORTS,신고 접수,API,api,SCR-004,P1,—,—,DB-SCHEMA-BASE; DB-RLS-BASE; DB-ACCESS; INFRA-AUTH-SESSION; INFRA-INPUT-VALIDATION,"REQ-FUNC-039, REQ-NF-019",TASK-API-REPORTS.md,True,"TEST-RLS-BASIC, E2E-MATE-AUTH",W05
18,API-ADMIN-SETTINGS,신고 상태 변경·외부 URL 설정,API,api,SCR-005,P2,—,—,DB-SCHEMA-BASE; DB-RLS-BASE; DB-ACCESS; INFRA-AUTH-SESSION; INFRA-INPUT-VALIDATION,"REQ-FUNC-041, REQ-FUNC-042, REQ-FUNC-077",TASK-API-ADMIN-SETTINGS.md,True,"TEST-RLS-BASIC, E2E-MATE-AUTH",W05
19,CMP-SCR001-HERO-SEARCH,Hero 통합 검색,Component,component,SCR-001,P1,/,src/app/page.tsx(PAGE-SCR001이 조립),DATA-DESTINATIONS; DATA-SAFETY,"REQ-FUNC-003, REQ-FUNC-067",TASK-CMP-SCR001-HERO-SEARCH.md,True,E2E-PUBLIC-SMOKE,W07
20,CMP-SCR001-DESTINATION-GRID,국내·해외 여행지 Card Grid + 테마 필터,Component,component,SCR-001,P1,/,src/app/page.tsx(PAGE-SCR001이 조립),DATA-DESTINATIONS; CMP-COMMON-FAVORITES-SHARE; CMP-COMMON-EMPTY-STATE,"REQ-FUNC-001, REQ-FUNC-002, REQ-FUNC-005, REQ-FUNC-009, REQ-FUNC-010, REQ-FUNC-068, REQ-NF-006",TASK-CMP-SCR001-DESTINATION-GRID.md,True,"E2E-PUBLIC-SMOKE, TEST-A11Y-AXE",W07
21,CMP-SCR001-DESTINATION-DETAIL-DRAWER,여행지 상세 Drawer,Component,component,SCR-001,P1,/,src/app/page.tsx(PAGE-SCR001이 조립),CMP-SCR001-DESTINATION-GRID; DATA-DESTINATIONS; DATA-SAFETY; CMP-COMMON-FAVORITES-SHARE,"REQ-FUNC-004, REQ-FUNC-006, REQ-FUNC-007(축소), REQ-FUNC-009, REQ-FUNC-069",TASK-CMP-SCR001-DESTINATION-DETAIL-DRAWER.md,True,E2E-PUBLIC-SMOKE,W08
22,CMP-SCR001-SAFETY-SECTION,국가별 안전정보 Card + 상세 Drawer,Component,component,SCR-001,P1,/,src/app/page.tsx(PAGE-SCR001이 조립),DATA-SAFETY; INFRA-EXTERNAL-LINK-SAFETY,"REQ-FUNC-047, REQ-FUNC-048, REQ-FUNC-049, REQ-FUNC-050(축소), REQ-FUNC-051, REQ-FUNC-052, REQ-FUNC-053, REQ-FUNC-054, REQ-NF-028(축소)",TASK-CMP-SCR001-SAFETY-SECTION.md,True,"E2E-PUBLIC-SMOKE, TEST-DATA-VALIDATION",W07
23,CMP-SCR001-RECENT-MATES,최근 동행 카드 3개/Empty State,Component,component,SCR-001,P2,/,src/app/page.tsx(PAGE-SCR001이 조립),DB-ACCESS; CMP-COMMON-EMPTY-STATE,"—(디자인 계약: D-001 §화면별 Section 순서, SCR-004 데이터 재사용)",TASK-CMP-SCR001-RECENT-MATES.md,True,E2E-PUBLIC-SMOKE,W07
24,CMP-SCR001-ABOUT-SUMMARY,대표 소개 요약 카드,Component,component,SCR-001,P2,/,src/app/page.tsx(PAGE-SCR001이 조립),DATA-REPRESENTATIVE,REQ-FUNC-057,TASK-CMP-SCR001-ABOUT-SUMMARY.md,True,"E2E-PUBLIC-SMOKE(값 일치 assertion), TEST-DATA-VALIDATION",W07
25,CMP-SCR002-HERO-PROFILE,대표 소개 Hero,Component,component,SCR-002,P2,/about,src/app/about/page.tsx(PAGE-SCR002가 조립),DATA-REPRESENTATIVE,REQ-FUNC-057,TASK-CMP-SCR002-HERO-PROFILE.md,True,E2E-PUBLIC-SMOKE,W09
26,CMP-SCR002-STATS-STORY,여행 지표 + 소개·철학,Component,component,SCR-002,P2,/about,src/app/about/page.tsx(PAGE-SCR002가 조립),DATA-REPRESENTATIVE,REQ-FUNC-058,TASK-CMP-SCR002-STATS-STORY.md,True,E2E-PUBLIC-SMOKE,W09
27,CMP-SCR002-TIMELINE,여행 타임라인 6개,Component,component,SCR-002,P2,/about,src/app/about/page.tsx(PAGE-SCR002가 조립),DATA-REPRESENTATIVE,REQ-FUNC-060,TASK-CMP-SCR002-TIMELINE.md,True,E2E-PUBLIC-SMOKE,W09
28,CMP-SCR002-COUNTRIES-GALLERY,방문 국가 30개 + 사진 Gallery 8개,Component,component,SCR-002,P2,/about,src/app/about/page.tsx(PAGE-SCR002가 조립),DATA-REPRESENTATIVE,"REQ-FUNC-059(축소), REQ-FUNC-061(축소), REQ-NF-006",TASK-CMP-SCR002-COUNTRIES-GALLERY.md,True,E2E-PUBLIC-SMOKE,W09
29,CMP-SCR002-FAVORITE-DESTINATIONS-CTA,기억에 남는 여행지 4개 + CTA,Component,component,SCR-002,P2,/about,src/app/about/page.tsx(PAGE-SCR002가 조립),DATA-DESTINATIONS; CMP-SCR001-DESTINATION-DETAIL-DRAWER,"REQ-FUNC-062, REQ-FUNC-063",TASK-CMP-SCR002-FAVORITE-DESTINATIONS-CTA.md,True,E2E-PUBLIC-SMOKE,W09
30,CMP-SCR003-INTRO-TABS,Intro 3단계 안내 + 탭 Shell,Component,component,SCR-003,P1,/travel-tools,src/app/travel-tools/page.tsx(PAGE-SCR003이 조립),,"—(디자인 계약, PAGE-SCR003이 조립할 탭 shell)",TASK-CMP-SCR003-INTRO-TABS.md,True,E2E-TRAVEL-TOOLS,W10
31,CMP-SCR003-FLIGHT-FORM,항공 조건 입력·요약·외부 이동,Component,component,SCR-003,P1,/travel-tools,src/app/travel-tools/page.tsx(PAGE-SCR003이 조립),CMP-SCR003-INTRO-TABS; INFRA-EXTERNAL-LINK-SAFETY; CMP-COMMON-TOAST,"REQ-FUNC-011, REQ-FUNC-012, REQ-FUNC-013, REQ-FUNC-014, REQ-FUNC-015, REQ-FUNC-016, REQ-FUNC-017, REQ-FUNC-018, REQ-FUNC-054, REQ-NF-017",TASK-CMP-SCR003-FLIGHT-FORM.md,True,"UNIT-TRAVEL-DATES, E2E-TRAVEL-TOOLS(쿼리 미포함·noopener 속성 확인)",W11
32,CMP-SCR003-HOTEL-FORM,숙소 조건 입력·요약·외부 이동,Component,component,SCR-003,P1,/travel-tools,src/app/travel-tools/page.tsx(PAGE-SCR003이 조립),CMP-SCR003-INTRO-TABS; INFRA-EXTERNAL-LINK-SAFETY; CMP-COMMON-TOAST,"REQ-FUNC-019, REQ-FUNC-020, REQ-FUNC-021, REQ-FUNC-022, REQ-FUNC-023, REQ-FUNC-024, REQ-FUNC-025, REQ-FUNC-026, REQ-NF-017",TASK-CMP-SCR003-HOTEL-FORM.md,True,"UNIT-TRAVEL-DATES, E2E-TRAVEL-TOOLS",W11
33,CMP-SCR003-MATE-WRITE-FORM,동행 모집글 작성 / 로그인 안내,Component,component,SCR-003,P1,/travel-tools,src/app/travel-tools/page.tsx(PAGE-SCR003이 조립),CMP-SCR003-INTRO-TABS; API-MATE-POSTS; INFRA-AUTH-SESSION; INFRA-ADULT-VERIFICATION; INFRA-CONTACT-DETECTION; CMP-COMMON-TOAST,"REQ-FUNC-027, REQ-FUNC-028, REQ-FUNC-031, REQ-FUNC-032, REQ-FUNC-080",TASK-CMP-SCR003-MATE-WRITE-FORM.md,True,E2E-MATE-AUTH,W10
34,CMP-SCR004-INTRO-CTA,Intro + 새 글 작성 CTA Banner,Component,component,SCR-004,P2,/mates,src/app/mates/page.tsx(PAGE-SCR004가 조립),,—(디자인 계약),TASK-CMP-SCR004-INTRO-CTA.md,True,E2E-MATE-AUTH,W12
35,CMP-SCR004-FILTER,검색 Filter + 결과 요약,Component,component,SCR-004,P1,/mates,src/app/mates/page.tsx(PAGE-SCR004가 조립),API-BLOCKS; DB-ACCESS,REQ-FUNC-030,TASK-CMP-SCR004-FILTER.md,True,E2E-MATE-AUTH,W12
36,CMP-SCR004-LIST,동행 목록 Card Grid,Component,component,SCR-004,P1,/mates,src/app/mates/page.tsx(PAGE-SCR004가 조립),CMP-SCR004-FILTER; DB-ACCESS; CMP-COMMON-FAVORITES-SHARE; CMP-COMMON-EMPTY-STATE,"REQ-FUNC-030, REQ-FUNC-033, REQ-FUNC-037(축소), REQ-FUNC-069",TASK-CMP-SCR004-LIST.md,True,"E2E-MATE-AUTH, TEST-A11Y-AXE",W12
37,CMP-SCR004-DETAIL,동행 상세 패널,Component,component,SCR-004,P1,/mates,src/app/mates/page.tsx(PAGE-SCR004가 조립),CMP-SCR004-LIST,REQ-FUNC-033,TASK-CMP-SCR004-DETAIL.md,True,E2E-MATE-AUTH,W13
38,CMP-SCR004-APPLY,참가 메시지 신청 폼,Component,component,SCR-004,P1,/mates,src/app/mates/page.tsx(PAGE-SCR004가 조립),CMP-SCR004-DETAIL; API-MATE-APPLICATIONS; INFRA-ADULT-VERIFICATION,"REQ-FUNC-034, REQ-FUNC-035",TASK-CMP-SCR004-APPLY.md,True,E2E-MATE-AUTH,W14
39,CMP-SCR004-REPORT,신고 모달,Component,component,SCR-004,P2,/mates,src/app/mates/page.tsx(PAGE-SCR004가 조립),CMP-SCR004-DETAIL; API-REPORTS,REQ-FUNC-039,TASK-CMP-SCR004-REPORT.md,True,E2E-MATE-AUTH,W13
40,CMP-SCR004-BLOCK,차단 버튼·확인,Component,component,SCR-004,P2,/mates,src/app/mates/page.tsx(PAGE-SCR004가 조립),CMP-SCR004-DETAIL; API-BLOCKS,REQ-FUNC-040,TASK-CMP-SCR004-BLOCK.md,True,E2E-MATE-AUTH,W14
41,CMP-SCR004-GUIDANCE-SAFETY,신청 방법 3단계 + 안전 안내 CTA,Component,component,SCR-004,P2,/mates,src/app/mates/page.tsx(PAGE-SCR004가 조립),,"—(디자인 계약: 콘텐츠 계약 ""신청 방법 3단계"")",TASK-CMP-SCR004-GUIDANCE-SAFETY.md,True,E2E-MATE-AUTH,W12
42,CMP-SCR005-AUTH,Guest 인증 Card(로그인/가입/재설정),Component,component,SCR-005,P1,/account,src/app/account/page.tsx(PAGE-SCR005가 조립),INFRA-AUTH-SESSION; CMP-COMMON-TOAST,REQ-FUNC-066,TASK-CMP-SCR005-AUTH.md,True,E2E-MATE-AUTH,W15
43,CMP-SCR005-PROFILE,Member 프로필 탭,Component,component,SCR-005,P1,/account,src/app/account/page.tsx(PAGE-SCR005가 조립),INFRA-AUTH-SESSION; INFRA-ADULT-VERIFICATION; INFRA-USER-DELETE; CMP-COMMON-FAVORITES-SHARE,"REQ-FUNC-028, REQ-FUNC-029, REQ-FUNC-045, REQ-FUNC-068",TASK-CMP-SCR005-PROFILE.md,True,E2E-MATE-AUTH,W15
44,CMP-SCR005-MY-ACTIVITY,Member 내 활동 탭,Component,component,SCR-005,P1,/account,src/app/account/page.tsx(PAGE-SCR005가 조립),API-MATE-POSTS; API-MATE-APPLICATIONS; API-BLOCKS; CMP-COMMON-EMPTY-STATE,"REQ-FUNC-036, REQ-FUNC-037(축소), REQ-FUNC-038, REQ-FUNC-040",TASK-CMP-SCR005-MY-ACTIVITY.md,True,E2E-MATE-AUTH,W15
45,CMP-SCR005-ADMIN,Admin 관리 영역(신고 큐·외부 URL),Component,component,SCR-005,P2,/account,src/app/account/page.tsx(PAGE-SCR005가 조립),API-ADMIN-SETTINGS,"REQ-FUNC-041, REQ-FUNC-042, REQ-FUNC-077",TASK-CMP-SCR005-ADMIN.md,True,"E2E-MATE-AUTH, TEST-RLS-BASIC",W15
46,CMP-COMMON-HEADER-FOOTER,전역 Header/Footer(`layout.tsx`),Component,component,공통,P0,공통(5개 Route),src/app/layout.tsx,INFRA-AUTH-SESSION,REQ-FUNC-064,TASK-CMP-COMMON-HEADER-FOOTER.md,True,"E2E-PUBLIC-SMOKE, TEST-A11Y-AXE",W05
47,CMP-COMMON-RESPONSIVE-LAYOUT,320px~Desktop 반응형 레이아웃 규칙,Component,component,공통,P0,공통(5개 Route),"src/app/layout.tsx, src/app/globals.css",,"REQ-FUNC-065, REQ-NF-006",TASK-CMP-COMMON-RESPONSIVE-LAYOUT.md,True,"TEST-A11Y-AXE(뷰포트 포함), E2E-PUBLIC-SMOKE(모바일 뷰포트)",W01
48,CMP-COMMON-SEO-METADATA,Next Metadata API 공통 적용,Component,component,공통,P2,공통(5개 Route),5개 page.tsx + src/app/layout.tsx,,"REQ-FUNC-070, REQ-NF-030",TASK-CMP-COMMON-SEO-METADATA.md,True,코드 리뷰(메타 태그 존재 확인),W02
49,CMP-COMMON-FAVORITES-SHARE,즐겨찾기(localStorage) + URL 공유 훅,Component,component,공통,P1,공통,"—(훅/유틸, 특정 Page Entry 소유 없음)",,"REQ-FUNC-068, REQ-FUNC-069",TASK-CMP-COMMON-FAVORITES-SHARE.md,True,E2E-PUBLIC-SMOKE(중복 방지 assertion),W01
50,CMP-COMMON-TOAST,Toast 알림(성공/오류),Component,component,공통,P1,공통(5개 Route),—(공용 컴포넌트),,REQ-FUNC-043,TASK-CMP-COMMON-TOAST.md,True,E2E-MATE-AUTH(Toast 노출 assertion),W02
51,CMP-COMMON-EMPTY-STATE,완성형 Empty State 공용 컴포넌트,Component,component,공통,P1,공통(5개 Route),—(공용 컴포넌트),,REQ-FUNC-005(지원),TASK-CMP-COMMON-EMPTY-STATE.md,True,"TEST-A11Y-AXE, E2E-PUBLIC-SMOKE/E2E-MATE-AUTH의 Empty 상태 시나리오",W01
52,CMP-COMMON-ERROR-BOUNDARIES,404/500/권한없음/외부연결실패 경계,Component,component,공통,P1,기술 Route(전체 미매칭 경로/렌더 오류/권한없음),"src/app/not-found.tsx, src/app/error.tsx, src/app/unauthorized.tsx",,REQ-FUNC-078,TASK-CMP-COMMON-ERROR-BOUNDARIES.md,True,"코드 리뷰, E2E-PUBLIC-SMOKE(404 시나리오)",W01
53,CMP-COMMON-ARIA-PATTERNS,폼·모달·탭·알림 공용 ARIA 패턴,Component,component,공통,P1,공통(5개 Route),—(공용 프리미티브),,"REQ-FUNC-079, REQ-NF-023",TASK-CMP-COMMON-ARIA-PATTERNS.md,True,"TEST-A11Y-AXE, RELEASE-CHECK-MANUAL(키보드·스크린리더 수동)",W01
54,PAGE-SCR001,메인 화면 조립,Page Owner,page_owner,SCR-001,P1,/,src/app/page.tsx,CMP-SCR001-HERO-SEARCH; CMP-SCR001-DESTINATION-GRID; CMP-SCR001-DESTINATION-DETAIL-DRAWER; CMP-SCR001-SAFETY-SECTION; CMP-SCR001-RECENT-MATES; CMP-SCR001-ABOUT-SUMMARY; CMP-COMMON-HEADER-FOOTER; CMP-COMMON-EMPTY-STATE; DATA-DESTINATIONS; DATA-SAFETY; DATA-REPRESENTATIVE,"REQ-FUNC-001~010, 047~054, 057, 064, 065, 067~070(조립 수준)",TASK-PAGE-SCR001.md,True,"E2E-PUBLIC-SMOKE, TEST-A11Y-AXE",W08
55,PAGE-SCR002,대표 소개 화면 조립,Page Owner,page_owner,SCR-002,P1,/about,src/app/about/page.tsx,CMP-SCR002-HERO-PROFILE; CMP-SCR002-STATS-STORY; CMP-SCR002-TIMELINE; CMP-SCR002-COUNTRIES-GALLERY; CMP-SCR002-FAVORITE-DESTINATIONS-CTA; CMP-COMMON-HEADER-FOOTER; DATA-REPRESENTATIVE; DATA-DESTINATIONS,"REQ-FUNC-057~063, 064, 065",TASK-PAGE-SCR002.md,True,E2E-PUBLIC-SMOKE,W09
56,PAGE-SCR003,통합 여행 준비 화면 조립,Page Owner,page_owner,SCR-003,P1,/travel-tools,src/app/travel-tools/page.tsx,CMP-SCR003-INTRO-TABS; CMP-SCR003-FLIGHT-FORM; CMP-SCR003-HOTEL-FORM; CMP-SCR003-MATE-WRITE-FORM; CMP-COMMON-HEADER-FOOTER; CMP-COMMON-TOAST; API-MATE-POSTS; INFRA-AUTH-SESSION; INFRA-ADULT-VERIFICATION,"REQ-FUNC-011~032, 054, 064, 065, 080",TASK-PAGE-SCR003.md,True,"E2E-TRAVEL-TOOLS, UNIT-TRAVEL-DATES",W11
57,PAGE-SCR004,동행 조회 화면 조립,Page Owner,page_owner,SCR-004,P1,/mates,src/app/mates/page.tsx,CMP-SCR004-INTRO-CTA; CMP-SCR004-FILTER; CMP-SCR004-LIST; CMP-SCR004-DETAIL; CMP-SCR004-APPLY; CMP-SCR004-REPORT; CMP-SCR004-BLOCK; CMP-SCR004-GUIDANCE-SAFETY; CMP-COMMON-HEADER-FOOTER; CMP-COMMON-EMPTY-STATE; API-MATE-APPLICATIONS; API-REPORTS; API-BLOCKS,"REQ-FUNC-030, 033~040, 064, 065, 069",TASK-PAGE-SCR004.md,True,E2E-MATE-AUTH,W14
58,PAGE-SCR005,계정·관리 화면 조립,Page Owner,page_owner,SCR-005,P1,/account,src/app/account/page.tsx,CMP-SCR005-AUTH; CMP-SCR005-PROFILE; CMP-SCR005-MY-ACTIVITY; CMP-SCR005-ADMIN; CMP-COMMON-HEADER-FOOTER; CMP-COMMON-EMPTY-STATE; INFRA-AUTH-SESSION; INFRA-USER-DELETE; API-ADMIN-SETTINGS,"REQ-FUNC-027~029, 036~038, 040~042, 045, 064, 065, 066, 068, 077",TASK-PAGE-SCR005.md,True,"E2E-MATE-AUTH, TEST-RLS-BASIC",W15
59,UNIT-TRAVEL-DATES,날짜 검증 Unit Test,Test,test,—,P1,—,—,CMP-SCR003-FLIGHT-FORM; CMP-SCR003-HOTEL-FORM,"REQ-FUNC-013, REQ-FUNC-021",TASK-UNIT-TRAVEL-DATES.md,True,CI-LINT-TYPECHECK-DATA에서 자동 실행,W17
60,UNIT-CONTACT-DETECTION,연락처 탐지 Unit Test,Test,test,—,P1,—,—,INFRA-CONTACT-DETECTION,REQ-FUNC-032,TASK-UNIT-CONTACT-DETECTION.md,True,CI-LINT-TYPECHECK-DATA에서 자동 실행,W17
61,UNIT-MATE-STATE,모집글/신청 상태 전이 Unit Test,Test,test,—,P1,—,—,API-MATE-POSTS; API-MATE-APPLICATIONS,"REQ-FUNC-035, REQ-FUNC-036, REQ-FUNC-037, REQ-FUNC-038",TASK-UNIT-MATE-STATE.md,True,CI-LINT-TYPECHECK-DATA에서 자동 실행,W17
62,TEST-RLS-BASIC,RLS 정책 기본 Integration Test,Test,test,—,P1,—,—,DB-RLS-BASE; DB-SEED-BASE,"REQ-FUNC-044, REQ-FUNC-077, REQ-NF-013",TASK-TEST-RLS-BASIC.md,True,CI-LINT-TYPECHECK-DATA(가능 시) 또는 별도 통합테스트 파이프라인에서 실행,W17
63,TEST-A11Y-AXE,axe-core 자동 접근성 검사,Test,test,—,P2,공통(5개 Route),—,PAGE-SCR001; PAGE-SCR002; PAGE-SCR003; PAGE-SCR004; PAGE-SCR005,REQ-NF-024,TASK-TEST-A11Y-AXE.md,True,CI-LINT-TYPECHECK-DATA 또는 별도 E2E 파이프라인,W16
64,TEST-DATA-VALIDATION,정적 데이터 완전성·수량 검증 스크립트,Test,test,—,P1,—,—,DATA-DESTINATIONS; DATA-SAFETY; DATA-REPRESENTATIVE,"REQ-FUNC-008, REQ-FUNC-046, REQ-FUNC-074, REQ-NF-026, REQ-NF-027, REQ-NF-028(축소)",TASK-TEST-DATA-VALIDATION.md,True,CI-LINT-TYPECHECK-DATA에서 실행,W16
65,E2E-PUBLIC-SMOKE,공개 흐름 E2E(여행지·안전정보·대표소개),Test,test,SCR-001/SCR-002,P2,"/, /about",—,PAGE-SCR001; PAGE-SCR002,"REQ-FUNC-001~010, 047~054, 057~063, 064, 065, 067, 069, 070",TASK-E2E-PUBLIC-SMOKE.md,True,CI-LINT-TYPECHECK-DATA,W16
66,E2E-TRAVEL-TOOLS,항공·호텔 흐름 E2E,Test,test,SCR-003,P2,/travel-tools,—,PAGE-SCR003,"REQ-FUNC-011~026, 054",TASK-E2E-TRAVEL-TOOLS.md,True,CI-LINT-TYPECHECK-DATA,W16
67,E2E-MATE-AUTH,인증·동행·신고·관리자 흐름 E2E,Test,test,SCR-003/004/005,P2,"/travel-tools, /mates, /account",—,PAGE-SCR003; PAGE-SCR004; PAGE-SCR005; DB-SEED-BASE,"REQ-FUNC-027~045, 066, 077, 041, 042",TASK-E2E-MATE-AUTH.md,True,CI-LINT-TYPECHECK-DATA,W16
68,CI-LINT-TYPECHECK-DATA,Lint·Typecheck·데이터검증 CI 게이트,CI,ci,—,P1,—,—,TEST-DATA-VALIDATION; UNIT-TRAVEL-DATES; UNIT-CONTACT-DETECTION; UNIT-MATE-STATE,REQ-NF-031,TASK-CI-LINT-TYPECHECK-DATA.md,True,실제 PR에서 워크플로 성공 확인,W18
69,DEPLOY-VERCEL-SUPABASE-CHECK,Vercel/Supabase 배포·환경 확인,CI,ci,—,P2,—,—,DB-SCHEMA-BASE; DB-RLS-BASE; INFRA-AUTH-SESSION,"REQ-NF-012, REQ-NF-016, REQ-NF-034",TASK-DEPLOY-VERCEL-SUPABASE-CHECK.md,True,배포 후 수동 확인(RELEASE-CHECK-MANUAL과 연계),W19
70,RELEASE-CHECK-MANUAL,브라우저 수동 릴리스 점검,Release Check,release_check,—,P3,공통(5개 Route),—,E2E-PUBLIC-SMOKE; E2E-TRAVEL-TOOLS; E2E-MATE-AUTH; TEST-A11Y-AXE,"REQ-NF-001, REQ-NF-002, REQ-NF-003, REQ-NF-004, REQ-NF-005, REQ-NF-019, REQ-NF-025, REQ-NF-028",TASK-RELEASE-CHECK-MANUAL.md,True,사람이 직접 수행하고 결과를 PR/릴리스 노트에 기록(자동 스크립트 없음),W19
